epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,945.979,0.59455,0.68298,1.06934,0.892,0.81788,0.92402,0.75788,0.82532,0.63571,1.26295,0.000197835,0.000197835,0.000197835
43,969.313,0.60107,0.69033,1.06546,0.89363,0.81774,0.91693,0.76866,0.75768,0.64226,1.18617,0.000194539,0.000194539,0.000194539
44,992.359,0.61794,0.71441,1.08893,0.8983,0.82525,0.93722,0.78231,0.76575,0.60428,1.17334,0.000191242,0.000191242,0.000191242
45,1015.68,0.58097,0.66936,1.06321,0.86141,0.83197,0.92317,0.76275,0.83423,0.61446,1.26924,0.000187945,0.000187945,0.000187945
46,1038.51,0.59082,0.64842,1.07292,0.87621,0.86882,0.91794,0.74812,0.86297,0.59447,1.26486,0.000184649,0.000184649,0.000184649
47,1061.42,0.59354,0.66364,1.06966,0.89087,0.84518,0.926,0.73229,0.95701,0.63149,1.40435,0.000181352,0.000181352,0.000181352
48,1084.56,0.58008,0.63904,1.06709,0.90656,0.88741,0.94916,0.7637,0.85155,0.58866,1.27975,0.000178055,0.000178055,0.000178055
49,1108.05,0.57664,0.60765,1.05777,0.89503,0.86898,0.94686,0.78686,0.79893,0.65288,1.21541,0.000174758,0.000174758,0.000174758
50,1131.29,0.57653,0.6216,1.05961,0.90084,0.87523,0.9473,0.76894,0.84185,0.56945,1.28526,0.000171462,0.000171462,0.000171462
51,1154.37,0.57796,0.62835,1.05968,0.90854,0.86283,0.94579,0.77628,0.82361,0.61576,1.24944,0.000168165,0.000168165,0.000168165
52,1177.08,0.56994,0.60733,1.05734,0.90201,0.87373,0.93597,0.77175,0.79995,0.59402,1.24652,0.000164868,0.000164868,0.000164868
53,1200.06,0.57243,0.61818,1.06177,0.93444,0.85895,0.92919,0.77302,0.779,0.59082,1.2152,0.000161572,0.000161572,0.000161572
54,1223.77,0.56985,0.60376,1.04869,0.9299,0.8827,0.95549,0.79155,0.81325,0.50778,1.23431,0.000158275,0.000158275,0.000158275
55,1246.87,0.55526,0.58541,1.04467,0.90313,0.86861,0.92685,0.76159,0.83273,0.59289,1.27623,0.000154978,0.000154978,0.000154978
56,1269.81,0.56751,0.59986,1.05534,0.90382,0.86727,0.92554,0.76308,0.79041,0.55135,1.22505,0.000151682,0.000151682,0.000151682
57,1293.1,0.55339,0.57416,1.04254,0.86992,0.89936,0.92862,0.75627,0.85205,0.58357,1.28849,0.000148385,0.000148385,0.000148385
58,1316.18,0.57231,0.60404,1.05702,0.87221,0.83464,0.91949,0.74747,0.871,0.68473,1.29529,0.000145088,0.000145088,0.000145088
59,1339.68,0.55158,0.56878,1.04711,0.8849,0.86261,0.93174,0.76399,0.81365,0.59834,1.24448,0.000141791,0.000141791,0.000141791
60,1362.89,0.54461,0.56055,1.04644,0.91063,0.85324,0.92304,0.75358,0.83814,0.58299,1.24533,0.000138495,0.000138495,0.000138495
61,1386.32,0.54662,0.56265,1.04349,0.89853,0.8359,0.90926,0.76135,0.78392,0.65351,1.22097,0.000135198,0.000135198,0.000135198
62,1409.73,0.53917,0.55636,1.03945,0.89239,0.85942,0.91398,0.76235,0.78121,0.59422,1.22724,0.000131901,0.000131901,0.000131901
63,1432.91,0.54376,0.54774,1.04507,0.91331,0.85232,0.90801,0.75518,0.81248,0.57288,1.24268,0.000128605,0.000128605,0.000128605
64,1456.55,0.54497,0.55102,1.03817,0.8918,0.82733,0.91426,0.74376,0.82829,0.63438,1.25896,0.000125308,0.000125308,0.000125308
65,1479.69,0.55095,0.53747,1.0453,0.84022,0.85699,0.92723,0.74767,0.85318,0.62562,1.31264,0.000122011,0.000122011,0.000122011
66,1503.09,0.52195,0.51656,1.03292,0.86286,0.87849,0.91754,0.76455,0.75979,0.614,1.22484,0.000118714,0.000118714,0.000118714
67,1526.57,0.52081,0.52829,1.03549,0.88014,0.87467,0.93059,0.76174,0.83082,0.55973,1.26959,0.000115418,0.000115418,0.000115418
68,1549.67,0.52427,0.51141,1.03229,0.91391,0.87189,0.92211,0.74548,0.86221,0.5837,1.2909,0.000112121,0.000112121,0.000112121
69,1572.78,0.52235,0.50415,1.02797,0.91845,0.83511,0.92367,0.76439,0.80112,0.60996,1.23253,0.000108824,0.000108824,0.000108824
70,1596.5,0.51483,0.50483,1.02572,0.91925,0.8537,0.91276,0.7709,0.74362,0.55939,1.18603,0.000105528,0.000105528,0.000105528
71,1620.13,0.51746,0.50646,1.03268,0.91921,0.85665,0.92773,0.76586,0.79857,0.54167,1.23673,0.000102231,0.000102231,0.000102231
72,1643.2,0.51301,0.49055,1.02391,0.9045,0.83142,0.91126,0.73737,0.87482,0.59401,1.32431,9.89343e-05,9.89343e-05,9.89343e-05
73,1666.06,0.51123,0.49907,1.02149,0.90881,0.88753,0.92673,0.74744,0.86927,0.55472,1.3039,9.56376e-05,9.56376e-05,9.56376e-05
74,1689.19,0.50184,0.49274,1.01623,0.8979,0.89283,0.92996,0.75304,0.88019,0.52367,1.3196,9.23409e-05,9.23409e-05,9.23409e-05
75,1712.71,0.50216,0.47896,1.02149,0.89549,0.84629,0.90505,0.73102,0.87599,0.60819,1.30904,8.90442e-05,8.90442e-05,8.90442e-05
76,1736.28,0.50141,0.47274,1.00926,0.91835,0.84561,0.93121,0.75985,0.85306,0.56376,1.30984,8.57475e-05,8.57475e-05,8.57475e-05
77,1759.91,0.50943,0.46697,1.02143,0.8642,0.88616,0.93019,0.76196,0.83632,0.56929,1.27659,8.24508e-05,8.24508e-05,8.24508e-05
78,1783.28,0.50063,0.46773,1.01049,0.87325,0.86935,0.91965,0.77114,0.75483,0.56404,1.2048,7.91541e-05,7.91541e-05,7.91541e-05
79,1806.43,0.50185,0.44288,1.02092,0.86394,0.88201,0.9259,0.76376,0.84253,0.58897,1.29919,7.58574e-05,7.58574e-05,7.58574e-05
80,1830.37,0.51143,0.46945,1.01956,0.87914,0.87142,0.92272,0.75496,0.85645,0.57743,1.30274,7.25607e-05,7.25607e-05,7.25607e-05
81,1853.98,0.48993,0.44598,1.01074,0.93144,0.86287,0.93349,0.77151,0.79307,0.55268,1.24238,6.9264e-05,6.9264e-05,6.9264e-05
82,1877.4,0.50619,0.46207,1.01696,0.87455,0.87422,0.91478,0.75019,0.83939,0.60493,1.30964,6.59673e-05,6.59673e-05,6.59673e-05
83,1900.95,0.50798,0.46625,1.01744,0.90767,0.87181,0.9344,0.77095,0.82259,0.55358,1.26813,6.26706e-05,6.26706e-05,6.26706e-05
84,1924.21,0.46412,0.43883,1.00354,0.87005,0.87353,0.9388,0.78174,0.78936,0.54744,1.22887,5.93739e-05,5.93739e-05,5.93739e-05
85,1947.33,0.48271,0.43805,1.01258,0.89374,0.8704,0.92236,0.76594,0.80203,0.55601,1.25987,5.60772e-05,5.60772e-05,5.60772e-05
86,1971.01,0.48916,0.43495,1.01479,0.86366,0.85933,0.92124,0.75973,0.80867,0.59754,1.27842,5.27805e-05,5.27805e-05,5.27805e-05
87,1994.48,0.47181,0.42591,0.99847,0.88593,0.87686,0.93961,0.76833,0.82767,0.5509,1.29908,4.94838e-05,4.94838e-05,4.94838e-05
88,2018.01,0.47866,0.41832,1.00085,0.88355,0.86781,0.93466,0.7625,0.82424,0.55185,1.27007,4.61871e-05,4.61871e-05,4.61871e-05
89,2040.94,0.48273,0.43772,1.0081,0.91873,0.8508,0.92807,0.76225,0.83839,0.55411,1.29673,4.28904e-05,4.28904e-05,4.28904e-05
90,2064.06,0.4865,0.44539,1.01049,0.89081,0.86149,0.93045,0.76452,0.82868,0.5638,1.27991,3.95937e-05,3.95937e-05,3.95937e-05
91,2123.62,0.34022,0.27092,0.91899,0.92059,0.85556,0.93321,0.77,0.80586,0.57836,1.26532,3.6297e-05,3.6297e-05,3.6297e-05
92,2146.02,0.33737,0.25672,0.91477,0.90947,0.84241,0.92533,0.76615,0.79329,0.59267,1.25765,3.30003e-05,3.30003e-05,3.30003e-05
93,2168.15,0.33013,0.25343,0.91022,0.91534,0.83266,0.92648,0.77266,0.7875,0.59464,1.25816,2.97036e-05,2.97036e-05,2.97036e-05
94,2190.59,0.3252,0.24927,0.90856,0.92044,0.84358,0.9261,0.7756,0.76965,0.59947,1.23175,2.64069e-05,2.64069e-05,2.64069e-05
95,2212.99,0.32669,0.24739,0.91055,0.89724,0.83827,0.91531,0.75436,0.80729,0.61273,1.26971,2.31102e-05,2.31102e-05,2.31102e-05
96,2235.56,0.31966,0.24287,0.90618,0.91571,0.84598,0.93103,0.77462,0.79653,0.56763,1.25557,1.98135e-05,1.98135e-05,1.98135e-05
97,2258.5,0.31872,0.24238,0.9127,0.848,0.88256,0.91907,0.76755,0.78277,0.59351,1.25823,1.65168e-05,1.65168e-05,1.65168e-05
98,2281.54,0.31418,0.23891,0.90017,0.8704,0.87397,0.91971,0.76613,0.78809,0.59953,1.25717,1.32201e-05,1.32201e-05,1.32201e-05
99,2304.36,0.31206,0.23715,0.89481,0.88477,0.86363,0.9209,0.76506,0.77764,0.59848,1.25301,9.9234e-06,9.9234e-06,9.9234e-06
100,2327.45,0.31349,0.23693,0.90194,0.86384,0.87069,0.92003,0.7658,0.78441,0.59738,1.25928,6.6267e-06,6.6267e-06,6.6267e-06
