epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,753.26,0.76656,3.90205,1.29633,0.56395,0.2324,0.3327,0.29242,0.56653,4.06339,1.27373,0.000110327,0.000110327,0.000110327
2,1490.01,0.64703,2.84919,1.16759,0.8028,0.7419,0.86276,0.78648,0.52938,2.613,1.14606,0.000177504,0.000177504,0.000177504
3,2224.67,0.60207,1.8955,1.13757,0.93588,0.88148,0.91997,0.8439,0.48162,1.80212,1.13509,0.000200726,0.000200726,0.000200726
4,2958.21,0.55229,1.4224,1.10047,0.95263,0.92669,0.94314,0.87113,0.44989,1.44535,1.06862,0.000135198,0.000135198,0.000135198
5,3688.14,0.50981,1.17838,1.07365,0.95475,0.93207,0.95717,0.89076,0.40792,1.30649,1.02161,6.9264e-05,6.9264e-05,6.9264e-05
